Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
ErsteMesswerteUndBefunde;LichtreaktionLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Beurteilung der Pupillenreaktion links;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;DiastolischerBlutdruck1;Nein;;ErsteMesswerte;D;E;"Zahl
Werteliste siehe Tabellenblatt Codes_DIVI";;Erste Werte: Diastolischer Blutdruck;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;SauerstoffsaettigungRaumluft1;Nein;;ErsteMesswerte;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Ja = Sauerstoffsättigung bei Raumluft gemessen, Nein = Sauerstoffsättigung unter O2-Gabe gemessen, leer = Wertung wie bei Raumluft-Messung;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;HerzfrequenzRhythmisch1;Nein;;ErsteMesswerte;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Ja = Herzaktion rhythmisch, Nein = Herzaktion arrhythmisch, leer = unbekannt;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;qSOFA;Nein;;ErsteMesswerte;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Wert des qSOFA bei Beginn des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;NEWS2Score;Nein;;ErsteMesswerte;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;NEWS2 Score-Wert für Sepsisverdacht zu Beginn des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: ErstbefundeVerlegung;Kapitel: ErstbefundeVerlegung;;;;;;;;"Pflicht für NA-Protokolle, wenn eine Verlegung mit physisch anwesendem NA oder ein Intensivtransport stattfindet.
(Für RD-Protokolle ist dieses Kapitel nie Pflicht.)";"Die Abhängigkeiten des gesamten Kapitels betreffen nur das Bundesland Baden-Württemberg
Pflicht wenn:
Protokolltyp GLEICH  NA
UND EinsatzArt GLEICH ( 05 ODER  07 ODER 09)";;;
ErstbefundeVerlegung;VBeatmung;Ja;;;M;E;"Beatmung (außer Heimbeatmung)
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;VBeatmungDetail;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;;;M;E;"differenzierte Beatmung
Werteliste siehe Tabellenblatt Codes";NA;"Differenzierte Beatmung bedeutet FiO2 > 0,4.
Pflicht, wenn im Kapitel ""Erstbefunde Verlegung"" eine Beatmung dokumentiert wurde.";"Pflicht wenn:
VBeatmung GLEICH  01
Wenn VBeatmung GLEICH  01, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;KatecholaminPflicht;Ja;;;M;E;"Katecholaminpflichtigkeit
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;KatecholaminTherapie;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";;;M;E;"differenzierte Katecholamin-Therapie
Werteliste siehe Tabellenblatt Codes";NA;"Differenzierte Katecholamin-Therapie bedeutet mehr als ein Katecholamin.
Pflicht, wenn im Kapitel ""Erstbefunde Verlegung"" eine Katecholaminpflichtigkeit dokumentiert wurde.";"Pflicht wenn:
KatecholaminPflicht GLEICH  01
Wenn KatecholaminPflicht GLEICH  01, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;FortlaufendSedierung;Ja;;;M;E;"fortlaufende Sedierung/Narkose
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;VigilanzMinderung;Ja;;;M;E;"deutliche Vigilanzminderung mit Einschränkung von Schutzreflexen
Werteliste siehe Tabellenblatt Codes";NA;Deutliche Vigilanzminderung mit Einschränkung von Schutzreflexen gilt bei GCS < 9.;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;InvasivBlutdruck;Ja;;;M;E;"invasive Blutdruckmessung
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
ErstbefundeVerlegung;SpezDevices;Ja;;;M;M;"spezielle Devices
Werteliste siehe Tabellenblatt Codes";NA;"Siehe Exporthinweise zu Option ""Sonstige"".";"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-spezielle-devices-cs / MindSpezielleDevicesVS. Noch kein Profil (BW-bezogen).
ErstbefundeVerlegung;AnzahlPerfusor;Ja;;;M;E;"Anzahl der Perfusoren
Einstellige numerische Angabe (0 bis 9)";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzulässig.";-2;;
Kapitel: EinschaetzungVerlegungsarzt;Kapitel: EinschaetzungVerlegungsarzt;;;;;;;;"Pflicht für NA-Protokolle, wenn laut Feld EinsatzArt eine Verlegung mit physisch anwesendem NA oder ein
Intensivtransport stattfindet.
(Für RD-Protokolle ist dieses Kapitel nie Pflicht.)";"Die Abhängigkeiten des gesamten Kapitels betreffen nur das Bundesland Baden-Württemberg
Pflicht wenn:
Protokolltyp GLEICH  NA
UND EinsatzArt GLEICH ( 05 ODER  07 ODER 09)";;;
EinschaetzungVerlegungsarzt;IndikationArztbegleitung;Ja;;;M;E;"Indikation Arztbegleitung gegeben
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzulässig.";-2;;
EinschaetzungVerlegungsarzt;ZDringlichkeit;Ja;;;M;E;"Einschätzung der zeitlichen Dringlichkeit durch Transportarzt
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-zeitliche-dringlichkeit-cs / MindZeitlicheDringlichkeitVS. Noch kein Profil.
EinschaetzungVerlegungsarzt;IndikationIT;Ja;;;M;M;"Indikation Intensivtransport
Werteliste siehe Tabellenblatt Codes";NA;"Siehe Exporthinweise zu Option ""Sonstige"".
Die Antwort NEIN ist implausibel, wenn im Kapitel ""ErstbefundeVerlegung"" sowohl eine Beatmung als auch eine Katecholaminpflichtigkeit dokumentiert sind.";"Wenn VBeatmung GLEICH  01 UND  KatecholaminPflicht GLEICH  01, dann ist Code 00 unzulässig.
Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzulässig. Kombinationen mit 00 sind unzulässig.";-2;T;Terminologie: mind-indikation-intensivtransport-cs / MindIndikationIntensivtransportVS. Noch kein Profil.
Kapitel: Diagnosen;Kapitel: Diagnosen;;;;;;;;"Pflicht für NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um eine primäre
Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt.
Pflicht für RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um einen Krankentransport, eine primäre Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA primär mitalarmiert oder nachgefordert wurde.
Hinweis für BW: Wenn eine Diagnose, für die ein Indikator zur Eignung der Zielklinik oder zur leitliniengerechten Versorgung dieser Diagnose existiert, im Diagnosen-Feld dokumentiert ist, wird auch eine entsprechend geeignete Zielklinik und leitliniengerechte Versorgung erwartet. Eher unwahrscheinliche Differentialdiagnosen sollen im Freitext dokumentiert werden.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER 08)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER 05
ODER  06 ODER  07 ODER 08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT (02 ODER  05 ODER  08)
UND NotarztNachgefordert GLEICH  02
UND EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;;
Diagnosen;Diagnose;Ja;Diagnose;Erkrankungen;DM;M;"Verdachtsdiagnose(n)
Werteliste siehe Tabellenblatt Codes";NA + RD;"Hier sollen nur einsatzrelevante Diagnosen und keine Vorerkrankungen dokumentiert werden.
• (Verdachts-)Diagnose der Notärztin/des Notarztes bzw. der Notfallsanitäterin/des Notfallsanitäters
• Verstorbene Patienten können mit 1220 = Herz-Kreislauf-Stillstand oder 1813 = SIDS codiert werden.
• Bei einer Anaphylaxie Grad 4 soll zusätzlich die Diagnose 1220 = Herz-Kreislauf-Stillstand dokumentiert werden.
• Bei tödlichen Verletzungen soll zusätzlich die Diagnose 1220 = Herz-Kreislauf-Stillstand dokumentiert werden.
• Bitte die Differenzierung zwischen hypertensivem Notfall (mit Organschäden und Lebensgefahr, z.B. AP- Beschwerden, Lungenödem, neurologische Symptome) und hypertensiver Entgleisung (ohne Organschäden/Lebensgefahr) beachten!";"Wenn Kapitel ""Diagnosen"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie vollständig: mind-diagnose-cs (inkl. Trauma 1100-9999, 1x98 'sonstige Erkrankung') / MindDiagnoseVS. Verwendendes Profil offen.
Diagnosen;DiagnoseSonstige_ZNS;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;"Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich ZNS-
Erkrankungen";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_HerzKreislauf;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich Herz/Kreislauf-Erkrankungen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Atmung;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;"Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich
Erkrankungen der Atmungsorgane";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Abdomen;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;"Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich abdominelle
Erkrankungen";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Psychiatrie;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich psychiatrische Erkrankungen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Stoffwechsel;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;"Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich Stoffwechsel-
Erkrankungen";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Paediatrie;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich pädiatrische Erkrankungen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Gynaekologie;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;"Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich
gynäkologische Erkrankungen";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;DiagnoseSonstige_Sonstige;Nein;;Erkrankungen;D;M;Text, Zeichenlimit 200;;Raum zur Erfassung einer im strukturierten Diagnosenbereich nicht wählbaren Diagnose aus dem Bereich sonstiger Erkrankungen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;Heimbeatmung;Nein;;Erkrankungen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja = Heimbeatmung verfügbar bzw. genutzt, Nein = keine Heimbeatmung verfügbar bzw. genutzt, leer = unbekannt;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;Heimsauerstoff;Nein;;Erkrankungen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja = Heimsauerstoff verfügbar bzw. genutzt, Nein = kein Heimsauerstoff verfügbar bzw. genutzt, leer = unbekannt;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Diagnosen;Erstdiagnosen;Nein;;Erstdiagnosen;D;E;Text, Zeichenlimit 500;;Raum für frei formulierbare Diagnosen und Symptome;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: VerletzungenDetails;Kapitel: VerletzungenDetails;;;;;;;;Pflicht für NA- und RD-Protokolle, wenn mindestens eine Verletzung aus Diagnosecodeliste mit führender 2 vorhanden.;"Pflicht wenn:
Mindestens ein Diagnose-Code GLEICH  2nnn";;;
VerletzungenDetails;Verletzungsmuster;Ja;VerletzungenDetails;Verletzungen;DM;E;"Verletzungsmuster
Werteliste siehe Tabellenblatt Codes";NA + RD;"Polytrauma: Gleichzeitig entstandene Verletzungen mehrerer Körperregionen oder Organsysteme, wobei wenigstens
eine Verletzung oder die Kombination mehrerer lebensbedrohlich ist.";"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-verletzungsmuster-cs / MindVerletzungsmusterVS. Noch kein Profil.
VerletzungenDetails;Unfallursache;Ja;VerletzungenDetails;Verletzungen;DM;E;"Unfallursache
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-unfallursache-cs / MindUnfallursacheVS. Noch kein Profil.
VerletzungenDetails;Unfallmechanismus;Ja;VerletzungenDetails;Verletzungen;DM;M;"Unfallmechanismus
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit 99 sind unzulässig.";-2;T;Terminologie: mind-unfallmechanismus-cs / MindUnfallmechanismusVS. Noch kein Profil.
VerletzungenDetails;Unfallhergang;Ja;VerletzungenDetails;Verletzungen;DM;M;"Unfallhergang
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""VerletzungenDetails"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit 99 sind unzulässig.";-2;T;Terminologie: mind-unfallhergang-cs / MindUnfallhergangVS. Noch kein Profil.
VerletzungenDetails;HelmPat;Nein;VerletzungenDetails;Verletzungen;DM;E;"Helm Patient
Werteliste siehe Tabellenblatt Codes";NA + RD;Hat der/die Verunfallte zum Zeitpunkt des Unfalls einen Helm getragen?;;-2;;
VerletzungenDetails;Penetrierend;Nein;;Verletzungen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste, ob und ggf. wo penetrierende Verletzungen vorliegen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;Instabil;Nein;;Verletzungen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste, ob und ggf. wo instabile Verletzungen vorliegen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;SensomotorDefizit;Nein;;Verletzungen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste, ob und ggf. wo sensomotorische Defizite vorliegen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;Amputation;Nein;;Verletzungen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste, ob und ggf. wo Amputationsverletzungen vorliegen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;Unfallhergang2;Nein;;Verletzungen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zum Unfallhergang;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;VerletzungenSonstige;Nein;;Verletzungen;D;E;Text, Zeichenlimit 200;;"Raum zur Erfassung einer bei den strukturierten Verletzungen nicht wählbaren ""sonstigen"" Verletzung";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
VerletzungenDetails;GewaltSonstige;Nein;;Verletzungen;D;E;Text, Zeichenlimit 200;;"Raum zur Erfassung einer bei den strukturierten Verletzungen nicht wählbaren ""sonstigen"" Gewalteinwirkung";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: Scores;Kapitel: Scores;;;;;;;;"Pflicht für NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um eine Hilfeleistung oder
eine Unterstützung eines anderen Rettungsmittels handelt..
Pflicht für RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um einen Krankentransport, eine Hilfeleistung, eine Unterstützung eines anderen Rettungsmittels oder um eine Verlegung mit physisch    anwesendem Notarzt handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER 05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (01 ODER 03 ODER  04 ODER 05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT  (05 ODER 08)
UND EinsatzArt NICHT  (05 ODER  07 ODER  10)";;;
Scores;NACAScore;Ja;Scores;Erstdiagnosen;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Subjektive Einschätzung der Schwere der Erkrankung oder Verletzung durch das rettungsdienstliche Personal. Es gilt
die jeweils schlimmste Ausprägung im Einsatzverlauf.";"Wenn Kapitel ""Scores"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-naca-score-cs / MindNacaScoreVS. Noch kein Profil.
Scores;MNACAScore;Nein;Scores;;M;E;"M-NACAScore
Werteliste siehe Tabellenblatt Codes";NA + RD;"Objektivierung des NACA Scores.
Soll aus dokumentierten Feldern berechnet werden!";;-2;T;Terminologie: mind-mnaca-score-cs / MindMnacaScoreVS. Noch kein Profil.
Kapitel: RDMassnahmen;Kapitel: RDMassnahmen;;;;;;;;"Pflicht für NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um eine primäre
Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt.
Pflicht für RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um einen Krankentransport, eine primäre Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA primär mitalarmiert oder nachgefordert wurde.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER 08
ODER  09 ODER 98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER 08)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER 05
ODER  06 ODER  07 ODER 08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT (02 ODER  05 ODER  08)
UND NotarztNachgefordert GLEICH  02
UND EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;;
RDMassnahmen;Airway;Ja;RDMassnahmen;Massnahmen;DM;M;"Airway Maßnahmen
Werteliste siehe Tabellenblatt Codes";NA + RD;"bei vorbestehendem Tracheostoma ohne eigene Maßnahmen soll ""keine Maßnahmen durchgeführt"" codiert werden";"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-airway-massnahme-cs / MindAirwayMassnahmeVS. Noch kein Profil.
RDMassnahmen;Atemunterst;Ja;RDMassnahmen;Massnahmen;DM;M;"Atemunterstützung - Beatmung
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-atemunterstuetzung-cs / MindAtemunterstuetzungVS. Noch kein Profil.
RDMassnahmen;CirculationZugang;Ja;RDMassnahmen;Massnahmen;DM;M;"Medikamentenzugang
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-circulation-zugang-cs / MindCirculationZugangVS. Noch kein Profil.
RDMassnahmen;SpezMassn;Ja;RDMassnahmen;Massnahmen;DM;M;"Spezielle Maßnahmen
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-spezielle-massnahme-cs / MindSpezielleMassnahmeVS. Noch kein Profil.
RDMassnahmen;EKG12Kanal;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RDMassnahmen;ErsteMesswerte;DM;M;"Dokumentation eines 12-Kanal-EKGs
Werteliste siehe Tabellenblatt Codes";NA + RD;Pflicht bei dokumentiertem ACS, STEMI oder Thoraxschmerz unklarer Genese;"Pflicht wenn:
Diagnose ENTHÄLT  (1201 ODER  1202 ODER 1203 ODER 1 204)
Wenn EKG12Kanal Pflicht, dann ist -2 unzulässig. Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-ekg-12-kanal-cs / MindEkg12KanalVS. Noch kein Profil.
RDMassnahmen;Medizintechnik;Ja;RDMassnahmen;Massnahmen;DM;M;"Medizintechnik
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-medizintechnik-cs / MindMedizintechnikVS. Noch kein Profil.
RDMassnahmen;LagTrans;Ja;RDMassnahmen;Massnahmen;DM;M;"Lagerungs- und Rettungstechnik
Werteliste siehe Tabellenblatt Codes";NA + RD;Mit HWS-Immobilisation ist nicht nur die Anlage einer Cervicalstütze gemeint, sondern auch andere Methoden der Immobilisation wie z.B. Headblocks.;"Wenn Kapitel ""RDMassnahmen"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 sind unzulässig.";-2;T;Terminologie: mind-lagerungs-rettungstechnik-cs / MindLagerungsRettungstechnikVS. Noch kein Profil.
RDMassnahmen;DurchfHeilkundlMassn;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;RDMassnahmen;Medikation;DM;M;Durchführung heilkundlicher Maßnahmen Werteliste siehe Tabellenblatt Codes;RD;Hiermit sind durchgeführte heilkundliche Maßnahmen durch Notfallsanitäter gemeint;"Pflicht wenn:
Protokolltyp GLEICH  RD
UND DokRM GLEICH  (02 ODER  15)
Wenn DurchfHeilkundlMassn Pflicht, dann ist -2 unzulässig. Kombinationen mit 03 sind unzulässig.";-2;T;Terminologie: mind-heilkundliche-massnahme-cs / MindHeilkundlicheMassnahmeVS. Noch kein Profil.
RDMassnahmen;Behandlungspfad;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RDMassnahmen;;M;M;Werteliste siehe Tabellenblatt Codes;RD;"Hier soll dokumentiert werden, welcher Behandlungspfad genutzt wurde (sinngleich Standardarbeitsanweisungen,
Algorithmen, Handlungsempfehlungen etc. nach örtlicher Vorgabe)";"Pflicht wenn:
Protokolltyp GLEICH  RD
UND DurchfHeilkundlMassn GLEICH  (01 ODER  02)
Wenn Behandlungspfad Pflicht, dann ist -2 unzulässig.";-2;;
RDMassnahmen;Airway2;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zu erweiterten Airway-Massnahmen (in Ergänzung zu Feld Airway);Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;EndotrachealGroesse;Nein;;Massnahmen;D;E;Zahl, in mm, Format nn.n;;"Größe des Endotrachealtubus, falls dieser zur Anwendung kam (bei mehreren Intubationsversuchen wird der Tubus,
der zur Beatmung endotracheal verblieb, genommen)";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;SauerstoffgabeLiterMin;Nein;;Massnahmen;D;E;Zahl, in Liter, Format nn.n;;Applizierte Menge Sauerstoff in Litern/Minute, falls dieser zur Anwendung kam;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;IntubationVersuchAnzahl;Nein;;Massnahmen;D;E;Zahl, Format nn;;Anzahl Intubationsversuche, falls intubiert wurde;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;CirculationZugang2;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste der bereits liegenden Zugänge;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;ZugangArt;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste der vom Dokumentierenden bzw. in seiner Verantwortung gelegten Gefäß-Zugänge;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
