Kapitel-/Feldname;"Pflicht
(jeweils bezogen auf das zugehˆrige Kapitel)";Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Auspr‰gung;Teildatensatz Notarzt (NA) Rettungsdienst (RD);Erl‰uterungen;Hinweise /Plausibilit‰ten/Abh‰ngigkeiten;techn. Default MIND;
URKRSTST;Ja;E;"Vermutete Ursache des Kreislaufstillstandes
Werteliste siehe Tabellenblatt Codes";NA + RD;Die internationalen Vorgaben des Utstein-Style Protokolls unterscheiden die Ursachen eines Kreislaufstillstandes in mehreren Sektionen. Gefragt ist die aus Sicht des Notarztes vermutliche Ursache.;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.;-2;
SPORT;Nein;E;"Zusammenhang mit sportlicher Aktivit‰t:
Werteliste siehe Tabellenblatt Codes";NA + RD;Besteht ein Zusammenhang des Kreislaufstillstandes mit sportlicher Aktivit‰t?;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.;-2;
ZEOFR;Nein;E;Zeitstempel Eintreffen First Responder Angabe von Datum und Uhrzeit;NA + RD;"Eintreffzeit eines First Responders als ""Vorausversorger"" neben dem regul‰ren Rettungsdienst am Einsatzort.";"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer ""1902-02-02T22:00:00.000+01:00"" unzul‰ssig.";"1902-02-
02T22:00:
00.000+0";
ZCKB;Ja;E;"Person Kollaps beobachtet
Werteliste siehe Tabellenblatt Codes";NA + RD;Wer hat den Kollaps beobachtet? Ersthelfer entspricht dem nichtmedizinischen Personal bzw. Laien.;Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.;-2;
ZCHDM;Ja;E;Person Herzdruckmassage begonnen Werteliste siehe Tabellenblatt Codes;NA + RD;Wer hat mit der Herzdruckmassage begonnen bzw. den Beginn angeordnet? (Es ist die jeweils am hˆchsten qualifizierte anwesende Person zu dokumentieren);"Wenn Protokolltyp GLEICH  NA
UND  Reanimationssituation GLEICH  (05 ODER  06 ODER  07 ODER  08), dann ist 06 unzul‰ssig.
Wenn Protokolltyp GLEICH  RD
UND  Reanimationssituation GLEICH  (05 ODER  06 ODER  07 ODER  08), dann sind 05 ODER  06 unzul‰ssig.
Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.";-2;
ZCDEFI;Ja;E;Person Defibrillation durchgef¸hrt Werteliste siehe Tabellenblatt Codes;NA + RD;Wer hat die erste Defibrillation durchgef¸hrt bzw. angeordnet? (Es ist die jeweils am hˆchsten qualifizierte anwesende Person zu kodieren.);"Wenn Protokolltyp GLEICH  NA
UND  Reanimationssituation GLEICH  (05 ODER  06 ODER  07 ODER  08), dann ist 06 unzul‰ssig.
Wenn Protokolltyp GLEICH  RD
UND  Reanimationssituation GLEICH  (05 ODER  06 ODER  07 ODER  08), dann sind 05 ODER  06 unzul‰ssig.
Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.";-2;
ZHDM;Ja;E;Zeitpunkt Beginn Herzdruckmassage Angabe von Datum und Uhrzeit;NA + RD;Erster Zeitpunkt, zu dem mit der Herzdruckmassage begonnen wurde, ggf. sch‰tzen.;"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer ""1902-02-02T22:00:00.000+01:00"" unzul‰ssig.";"1902-02-
02T22:00:
00.000+0";
ZDEFI1;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Zeitpunkt erste Defibrillation Angabe von Datum und Uhrzeit;NA + RD;"Zeitpunkt der ersten Defibrillation.
Pflicht f¸r NA-Protokolle, wenn eine Defibrillation durch den KTW, RTW oder NA dokumentiert wurde
Pflicht f¸r RD-Protokolle, wenn eine Defibrillation durch den KTW oder RTW dokumentiert wurde und eine Notfallrettung ohne erkennbare NA-Beteiligung bzw. -Nachforderung vorliegt.";"Pflicht wenn:
Protokolltyp GLEICH  NA UND ZCDEFI GLEICH  (04 ODER  05 ODER  06) ODER
Protokolltyp GLEICH  RD UND  ZCDEFI GLEICH  (04 ODER  05)
UND  EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)
UND  NotarztNachgefordert GLEICH  02
Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer ""1902-02-02T22:00:00.000+01:00"" unzul‰ssig.";"1902-02-
02T22:00:
00.000+0
1:00";
ZROSC1;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"Zeitpunkt 1. ROSC
Angabe von Datum und Uhrzeit";NA + RD;Bei Wiedereintritt eines Eigenkreislaufs (ROSC) ist die Zeit zu notieren. Ab diesem Zeitpunkt hat der Patient einen eigenen Kreislauf mit einem messbaren Puls. Auch wenn dieser wieder zusammenbricht. ROSC = return of spontaneous circulation (Spontankreislauf);"Pflicht wenn:
ROSC GLEICH  02
Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte auﬂer ""1902-02-02T00:00:00"" unzul‰ssig.";"1902-02-
02T22:00:
00.000+0
1:00";
ROSC;Ja;E;"Erreichen eines Spontankreislaufs
Werteliste siehe Tabellenblatt Codes";NA + RD;"Konnte durch die Reanimationsmaﬂnahmen jemals ein spontaner Kreislauf > 20 Sekunden etabliert werden?
Wenn laut Feld KHAUF ""Krankenhausaufnahme mit ROSC"", dann
in Feld ROSC nur "" jemals ROSC"" zul‰ssig.";"Wenn KHAUF GLEICH  02, dann nur ROSC GLEICH  02 zul‰ssig.
Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte auﬂer -2 unzul‰ssig.";-2;
KHAUF;Ja;E;Patientenzustand bei Krankenhausaufnahme Werteliste siehe Tabellenblatt Codes;NA + RD;Zustand bei ‹bergabe an die Zielklinik.;"Wenn Reanimationssituation GLEICH  00, dann sind alle Werte auﬂer -2 unzul‰ssig.
Wenn Reanimationssituation GLEICH   (05 ODER  06 ODER  07 ODER  08), dann sind alle Werte auﬂer 01 unzul‰ssig.";-2;
ZTOD;Nein;E;"Zeitpunkt TOD
Angabe von Datum und Uhrzeit";NA + RD;Beendigungszeitpunkt der Reanimationsmaﬂnahmen.;"Wenn Reanimationssituation GLEICH  (00 ODER  05 ODER  06 ODER  07 ODER  08), dann sind alle Werte auﬂer ""1902-02-02T00:00:00"" unzul‰ssig.";"1902-02-
02T22:00:
00.000+0
1:00";
